model,weight,vesa_size,screw_size
32GR75Q,5.7kg,100*100,
27GQ50F,3.25kg,100*100,
27GR95QL,5.05kg,100*100,
27GP83B,4.2kg,100*100,
32GP83B,4.8kg,100*100,
27GR93U,4.5kg,100*100,
32GR93U,6kg,100*100,
32GN50R,5.2kg,100*100,
27GP850,4.2kg,100*100,
24GN60R,3.5kg,100*100,
25GR75FG,4.1kg,100*100,
27GN60R,5.1kg,100*100,
27GR95QE,5.05kg,100*100,
24GN60K,3.5kg,100*100,
32GN55R,5.1kg,100*100,
32GQ950,9.3kg,100*100,
32GQ850L,5.9kg,100*100,
27GP830,4.2kg,100*100,
48GQ900,15.5kg,100*100,
32GP850,4.8kg,100*100,
27GP750,3.9kg,100*100,
32GN650,5.1kg,100*100,
34GN850,5.5kg,100*100,
27GN60K,5.1kg,100*100,
27GR75Q,4.05kg,100*100,
27GN65R,5.1kg,100*100,
24GN65R,3.4kg,100*100,
32SR83U,5.5kg,100*100,
32SR70U,7kg,100*100,
32SR50F,5.4kg,100*100,
32SQ750S,7.1kg,100*100,
32SQ730SW,7.2kg,100*100,
27LQ600SW,5.7kg,75*75,
43SQ700SW,10.9kg,100*100,
27TQ600SY,5.7kg,75*75,
27SR50F,4.4kg,100*100,
27TQ600SW,5.7kg,75*75,
32UP830,6.5kg,100*100,
27UQ750,4kg,100*100,
32UP550N,6.7kg,100*100,
27UP550N,4.4kg,100*100,
27UP650,3.8kg,100*100,
32UN880,6.5kg,100*100,
32UN500,6.7kg,100*100,
27UP850N,4.1kg,100*100,
32UN550,6.7kg,100*100,
32UQ850W,5kg,100*100,
27UQ850V,4.1kg,100*100,
32UQ850V,5.3kg,100*100,
29WQ500,4kg,100*100,
29WP500,4kg,100*100,
29WQ600,4kg,100*100,
34WQ650W,6kg,100*100,
34WP500,4.94kg,100*100,
34WN780,6.9kg,100*100,
34WP550,4.94kg,100*100,
34WN750,6.9kg,100*100,
34WQ500,6kg,100*100,
24MR400,2.6kg,100*100,
27MQ400,3.1kg,75*75,
24MQ400,2.3kg,75*75,
43MQ520S,8kg,200*200,
32MN600P,6.2kg,100*100,
27TQ625SW,3.5kg,75*75,
24MP400W,2.3kg,75*75,
28MQ780,4.3kg,100*100,
27TQ615SP,3.5kg,75*75,
24TQ510SW,3.25kg,75*75,
32MN500MW,5.1kg,100*100,
24ML600SW,2.75kg,75*75,
24QP500,3.4kg,100*100,
32MN500M,5.1kg,100*100,
24MN430HW,3kg,75*75,
32QN600,6.3kg,100*100,
27MP500W,3.8kg,75*75,
24BK550YW,3.6kg,100*100,
24TQ520SW,3.25kg,75*75,
24TQ510SP,3.25kg,75*75,
27MP500,3.8kg,75*75,
27MP400W,3.1kg,75*75,
24MP400,2.3kg,75*75,
32MQ510SW,5.2kg,100*100,
22MP410,2.2kg,75*75,
32QN650,6.3kg,100*100,
24MK600M,2.8kg,75*75,
27QN600,4.75kg,100*100,
32MN600PW,6.2kg,100*100,
32MQ510S,5.2kg,100*100,
27BQ70QC,6kg,cs,
24MP500,2.7kg,75*75,
22MR410,2.05kg,100*100,
27MR400,3.3kg,100*100,
24MQ400C,2.3kg,75*75,
27MQ400C,3.1kg,75*75,
24MK430H,3kg,75*75,
OLED97M3KNA,57.5kg,600*400,
OLED88Z3KNA,43.5kg,cs,
OLED77Z3KNA,43.9kg,400*400,
OLED42C3ENA,9.8kg,300*200,
OLED42C2KNB,9.8kg,300*200,
OLED55C3FNA,14.1kg,300*200,
OLED42C3KNA,9.8kg,300*200,
OLED77A3SNA,22.9kg,300*200,
OLED77C3SNA,23.5kg,300*200,
OLED83C3KNA,32.3kg,400*400,
OLED65G3KNA,23.9kg,300*300,
OLED83C3QNA,32.3kg,400*400,
OLED48C3KNA,14.9kg,300*200,
OLED48C3ENA,14.9kg,300*200,
OLED55C3SNA,14.1kg,300*200,
OLED65A3ENA,17.1kg,300*200,
OLED55B3NNA,18.9kg,300*200,
OLED65B3SNA,24kg,300*200,
OLED77B3SNA,26.7kg,400*200,
OLED65B3NNA,24kg,300*200,
OLED65A3SNA,17.1kg,300*200,
OLED55A3ENA,14.3kg,300*200,
OLED55A3KNA,14.3kg,300*200,
48LX1QKNA,17.2kg,300*200,
55LX1QKNA,21kg,300*200,
OLED77M3KNA,36.5kg,300*200,
OLED83M3KNA,40.2kg,400*400,
OLED48A3KNA,11.5kg,300*200,
OLED55A2KNA,14.3kg,300*200,
OLED65B2ENA,24kg,300*200,
OLED77B3XNA,26.7kg,400*200,
OLED77C3XNA,23.5kg,300*200,
OLED55B3FNA,18.9kg,300*200,
OLED77G3KNA,36.8kg,300*300,
OLED83G3KNA,40.9kg,400*400,
OLED55G3KNA,17.8kg,300*200,
42LX3QKNA,22.6kg,cs,
OLED97G2KNA,57kg,600*400,
OLED65C3FNA,16.6kg,300*200,
OLED55C2FNA,14.1kg,300*200,
OLED65C3SNA,16.6kg,300*200,
55LX1QKNC,21kg,cs,
OLED77A3MNA,22.9kg,300*200,
OLED77A3ENA,22.9kg,300*200,
OLED65B3FNA,24kg,300*200,
OLED77B3NNA,26.7kg,400*200,
OLED42C3CNA,9.8kg,300*200,
OLED65A3MNA,17.1kg,300*200,
OLED77C3QNA,23.5kg,300*200,
OLED65C3QNA,16.6kg,300*200,
OLED77C3FNA,23.5kg,300*200,
OLED65B2QNA,24kg,300*200,
OLED65A2NNA,17.1kg,cs,
OLED48A2ENA,11.5kg,300*200,
OLED55A2ENA,14.3kg,cs,
OLED77A2ENA,22.9kg,cs,
OLED83C2QNA,32.3kg,cs,
OLED42C2ENA,9.8kg,cs,
OLED65A2MNA,17.1kg,300*200,
OLED65A2KNA,17.1kg,cs,
OLED65RXKNA,91kg,novesa,
65QNED80KRA,22.5kg,300*300,
75QNED85KRA,41.9kg,400*400,
65QNED70NRA,24.5kg,300*300,
65QNED75KRA,24.5kg,300*300,
75QNED70NRA,35.9kg,400*400,
75QNED70ERA,35.9kg,400*400,
75QNED7SKQA,35.9kg,400*400,
75QNED80KRA,33kg,400*300,
86QNED80KRA,54.5kg,600*400,
86QNED85KRA,59.1kg,600*400,
75QNED75FRA,35.9kg,400*400,
55QNED75KRA,16.3kg,300*300,
86NANO75KQA,45.2kg,cs,
75NANO75KQA,31.4kg,cs,
75UR8300ENA,31.4kg,400*400,
75UR8300NNA,31.4kg,400*400,
43UR8300ENA,8.8kg,200*200,
50UR8300ENA,11.7kg,200*200,
50UR8250KNA,11.7kg,200*200,
75UR9300KNA,33kg,400*300,
86UR9300KNA,45.2kg,600*400,
65UR9300KNA,23.6kg,300*300,
43UR9300KNA,9.3kg,200*200,
55UR9300KNA,15kg,300*300,
50UR9300KNA,13kg,200*200,
43UR93RC0NA,9.3kg,200*200,
65UR8300ENA,21.4kg,300*300,
65UR8300NNA,21.4kg,300*300,
70UR8300ENA,27.7kg,400*400,
86UQ8300ENA,45.2kg,600*400,
75UQ9300KNA,31.4kg,400*400,
65UQ9300KNA,21.5kg,300*300,
86UQ9300KNA,45.2kg,600*400,
55UQ9300KNA,14kg,300*300,
55UR8300ENA,14kg,300*300,
75UQ8300ENA,31.4kg,400*400,
75UQ8300QNA,31.4kg,400*400,
43UQ93RC0NA,8.8kg,200*200,
75UQ931C0NA,31.4kg,400*400,
65UQ931C0NA,21.5kg,300*300,
43UQ8300ENF,8.8kg,200*200,
65UQ8300ENF,21.5kg,300*300,
55UQ8300ENF,14kg,300*300,
"75UQ8300NNA
",31.4kg,400*400,
43LM6350KNA,cs,cs,
32LQ635BENA,4.65kg,cs,
32LQ635BKNA,4.65kg,cs,
32LQ635BCNA,4.65kg,cs,
32LM580BEND,4.85kg,cs,
OLED65B3NWC,24kg,300*200,
OLED65G3KWC,23.9kg,300*300,
OLED55A3EWC,14.3kg,300*200,
OLED55A3ESC,14.3kg,300*200,
OLED65G3KSC,23.9kg,300*300,
OLED65B3NSC,24kg,300*200,
OLED55A2KSC,14.3kg,300*200,
OLED55A2KWC,14.3kg,300*200,
50UR8250KSASP2,11.7kg,200*200,
50UR8250KWASP2,11.7kg,200*200,
OLED65B3NWASP2,24kg,300*200,
OLED55A3ESASP2,14.3kg,300*200,
65UR9300KSASP2,23.6kg,300*300,
75UR9300KWASP2,33kg,400*300,
86UR9300KSASP2,45.2kg,600*400,
86UR9300KWASP2,45.2kg,600*400,
55UR9300KSASP2,15kg,300*300,
OLED65B3NSASP2,24kg,300*200,
OLED83C3KSAS80QR,32.3kg,400*400,
75UR9300KSASP2,33kg,400*300,
OLED83C3KWAS80QR,32.3kg,400*400,
OLED55C3SSASC9S,14.1kg,300*200,
OLED65B3SWASP2,24kg,300*200,
OLED83C3QSAS80QR,32.3kg,400*400,
OLED48C3ESAS80QR,14.9kg,300*200,
OLED77C3SWASC9S,23.5kg,300*200,
OLED55A3KSASP2,14.3kg,300*200,
OLED77C3SSASC9S,23.5kg,300*200,
OLED83C3QWAS80QR,32.3kg,400*400,
55UR9300KWASP2,15kg,300*300,
65UR9300KWASP2,23.6kg,300*300,
OLED55A3KWASP2,14.3kg,300*200,
"OLED48C3EWAS80QR
",14.9kg,300*200,
OLED55A3EWASP2,14.3kg,300*200,
OLED55C3SWASC9S,14.1kg,300*200,
OLED55A2KWMAKRG,14.3kg,300*200,
OLED65B2EWGAKRG,24kg,300*200,
75QNED70NRFAKRG,35.9kg,400*400,
OLED77C3SWMAKRG,23.5kg,300*200,
OLED55A3ESMAKRG,14.3kg,300*200,
OLED65G3KSMAKRG,23.9kg,300*300,
75UQ9300KWASP2,31.4kg,400*400,
75UQ9300KSASP2,31.4kg,400*400,
OLED55A2KSASP2,14.3kg,300*200,
OLED55A2KWASP2,14.3kg,300*200,
75QNED70NREAKRG,35.9kg,400*400,
75QNED70NRMAKRG,35.9kg,400*400,
75QNED70NRGAKRG,35.9kg,400*400,
OLED55A2KWGAKRG,14.3kg,300*200,
OLED55A2KSMAKRG,14.3kg,300*200,
OLED55A2KSGAKRG,14.3kg,300*200,
OLED55A3EWMAKRG,14.3kg,300*200,
OLED65B3NWMAKRG,24kg,300*200,
OLED65B2EWMAKRG,24kg,300*200,
OLED55B2EWMAKRG,18.9kg,cs,
OLED55A3EWGAKRG,14.3kg,300*200,
OLED65B3NWGAKRG,24kg,300*200,
OLED55B2EWGAKRG,18.9kg,cs,
OLED65B2ESMAKRG,24kg,300*200,
OLED65B3NSMAKRG,24kg,300*200,
OLED55B2ESMAKRG,18.9kg,cs,
OLED55A3ESGAKRG,14.3kg,300*200,
OLED65B2ESGAKRG,24kg,300*200,
OLED65B3NSGAKRG,24kg,300*200,
OLED55B2ESGAKRG,18.9kg,cs,
OLED65G3KLMAKRG,23.9kg,300*300,
OLED65G3KWMAKRG,23.9kg,300*300,
OLED77C3SWGAKRG,23.5kg,300*200,
OLED65G3KLGAKRG,23.9kg,300*300,
OLED65G3KWGAKRG,23.9kg,300*300,
OLED65G3KSGAKRG,23.9kg,300*300,
OLED77C3SSMAKRG,23.5kg,300*200,
OLED77C3SSGAKRG,23.5kg,300*200,
OLED77G3KWC,36.8kg,300*300,
OLED77G3KSC,36.8kg,300*300,
50UR8300ESASP2,11.7kg,200*200,
50UR8300EWASP2,11.7kg,200*200,
OLED55B3NWC,18.9kg,300*200,
OLED55B3NSC,18.9kg,300*200,
OLED65C3SWC,16.6kg,300*200,
OLED65C3SSC,16.6kg,300*200,
OLED77B3NWC,26.7kg,400*200,
OLED77B3NSC,26.7kg,400*200,
OLED55G3KWC,17.8kg,300*200,
OLED55G3KSC,17.8kg,300*200,
OLED65A2NSC,17.1kg,cs,
OLED65A2NWC,17.1kg,cs,
OLED55B3NWASP2,18.9kg,300*200,
OLED55B3NSASP2,18.9kg,300*200,
OLED65C3SWASC9S,16.6kg,300*200,
OLED65C3SSASC9S,16.6kg,300*200,
75QNED70ERFAKRG,35.9kg,400*400,
75QNED70EREAKRG,35.9kg,400*400,
75QNED70ERMAKRG,35.9kg,400*400,
75QNED70ERGAKRG,35.9kg,400*400,
OLED55B3NWMAKRG,18.9kg,300*200,
OLED55B3NWGAKRG,18.9kg,300*200,
OLED55B3NSMAKRG,18.9kg,300*200,
OLED55B3NSGAKRG,18.9kg,300*200,
OLED48A3KWASP2,11.5kg,300*200,
OLED48A3KSASP2,11.5kg,300*200,
55UQ9300KWASP2,14kg,300*300,
65UQ9300KWASP2,21.5kg,300*300,
55UQ9300KSASP2,14kg,300*300,
65UQ9300KSASP2,21.5kg,300*300,
65UQ8300ESASP2,21.5kg,300*300,
65UQ8300EWASP2,21.5kg,300*300,
86UQ9300KWASP2,45.2kg,cs,
86UQ9300KSASP2,45.2kg,cs,
OLED48A2EWASP2,11.5kg,300*200,
OLED48A2ESASP2,11.5kg,300*200,
75UQ8300QWASP2,31.4kg,400*400,
75UQ8300QSASP2,31.4kg,400*400,
55UQ8300EWASP2,14kg,300*300,
OLED65A2NWASP2,17.1kg,cs,
OLED55A2EWASP2,14.3kg,cs,
OLED55A2ESASP2,14.3kg,cs,
75UQ8300NWASP2,31.4kg,400*400,
55UQ8300ESASP2,14kg,300*300,
OLED65A2NSASP2,17.1kg,cs,
75UQ8300NSASP2,31.4kg,400*400,
KQ98QC80AFXKR,56.3kg,600*400,
KQ98QC80-W1,56.3kg,600*400,
KQ98QNA90AFXKR,64.1kg,600*400,
KQ98QNC990-97,68kg,600*400,
KQ98QNC990FXKR,68kg,600*400,
KQ98QNC990-W1,68kg,600*400,
KQ98QNA90-SP,61.4kg,600*400,
KQ98QC80-50W,56.3kg,600*400,
KQ98QNB100FXKR,68.6kg,600*400,
KQ85QCE1AFXKR,41.5kg,600*400,M8 11~13
KQ85QCE1-W2N,41.5kg,600*400,M8 11~13
KQ85QCE1-W2,41.5kg,600*400,M8 11~13
KQ85QCE1-5,41.5kg,600*400,M8 11~13
KQ85QCE1-W2N5,41.5kg,600*400,M8 11~13
KU85UA7000FXKR,40.2kg,600*400,
KU85UA7000-W3,40.2kg,600*400,
KU85UA7000B5,40.2kg,600*400,
KU85UA7000W3B5,40.2kg,600*400,
KQ85QNC83AFXKR,42.7kg,600*400,M8 11~13
KQ85QNC83-W2N,42.7kg,600*400,M8 11~13
KQ85QNC83-W2,42.7kg,600*400,M8 11~13
KQ85QNC83-W2N8,42.7kg,600*400,M8 11~13
KQ85QNC83-8,42.7kg,600*400,M8 11~13
KQ85QNC83-W18,42.7kg,600*400,M8 11~13
KQ85QNC83-N18,42.7kg,600*400,M8 11~13
KQ85QNC83-W28,42.7kg,600*400,M8 11~13
KQ83SC90AEXKR,38kg,400*300,M8 28~30
KQ83SC90-W1N,38kg,400*300,M8 28~30
KQ83SC90-W1,38kg,400*300,M8 28~30
KQ85QC70AFXKR,43.8kg,600*400,M8 11~13
KQ85QC70-W2,43.8kg,600*400,M8 11~13
KQ85QC80AFXKR,41.5kg,600*400,M8 16~18
KQ85QC80-W2,41.5kg,600*400,M8 16~18
KQ85QNC95AFXKR,41.4kg,600*400,M8 5~6
KQ85QNC95-W2,41.4kg,600*400,M8 5~6
KQ85QD60AFXKR,41.5kg,600*400,M8 11~13
KQ85QNC85AFXKR,42.7kg,600*400,M8 11~13
KQ85QNC85-W2,42.7kg,600*400,M8 11~13
KQ85QNC900FXKR,43.7kg,600*400,M8 5~6
KQ85QNC900-W2,43.7kg,600*400,M8 5~6
KQ85QC83AFXKR,41.3kg,600*400,M8 16~18
KQ85QC68-FGC,41.5kg,600*400,M8 11~13
KQ85QC68-FGCW,41.5kg,600*400,M8 11~13
KQ85QC70-FVGC,43.8kg,600*400,M8 11~13
KQ85QC70-FVGCW,43.8kg,600*400,M8 11~13
KQ85QCE1-4,41.5kg,600*400,M8 11~13
KQ85QCE1-W24,41.5kg,600*400,M8 11~13
KQ85QC75AFXKR,43.8kg,600*400,M8 11~13
KQ85QC75-W1,43.8kg,600*400,M8 11~13
KQ85QB67-W2B5,41.5kg,600*400,M8 11~13
KQ85QNC800-W18,43.7kg,600*400,M8 5~6
KQ85QNC800-W28,43.7kg,600*400,M8 5~6
KQ85QC68AFXKR,41.5kg,600*400,M8 11~13
KQ85QC70-W14,43.8kg,600*400,M8 11~13
KQ85QC70-N14,43.8kg,600*400,M8 11~13
KQ85QC70-W24,43.8kg,600*400,M8 11~13
KU85UC8000-B6,41.5kg,600*400,M8 11~13
KU85UC8070-4,41.5kg,600*400,M8 11~13
KU85UC8070-W24,41.5kg,600*400,M8 11~13
KQ85QNC85-F9,42.7kg,600*400,M8 11~13
KQ85QNC85-FW9,42.7kg,600*400,M8 11~13
KQ85QC67AFXKR,41.5kg,600*400,M8 11~13
KU85UC7030FXKR,40.2kg,600*400,M8 20~22
KU85UC7050FXKR,40.2kg,600*400,M8 20~22
KQ85QNC800FXKR,43.7kg,600*400,M8 5~6
KQ85QNC800-W2,43.7kg,600*400,M8 5~6
KQ85QNC850FXKR,43.7kg,600*400,M8 5~6
KQ85QNA900FXKR,43.1kg,600*400,M8 5~6
KQ85QNA900-W2,43.1kg,600*400,M8 5~6
KQ85QNA800FXKR,43.1kg,600*400,M8 5~6
KQ85QNA800-W2,43.1kg,600*400,M8 5~6
KQ85QNA800-6,43.1kg,600*400,M8 5~6
KQ85QNA800-W26,43.1kg,600*400,M8 5~6
KQ85QNB800FXKR,43.4kg,600*400,M8 5~6
KQ85QNC88AFXKR,42.7kg,600*400,M8 11~13
KQ85QNC88-W2,42.7kg,600*400,M8 11~13
KQ85QNB88AFXKR,42.7kg,600*400,M8 11~13
KQ85QNA85A-S6,44.5kg,600*400,
KQ85QNA85A-W6,44.5kg,600*400,
KQ85QNA90AFXKR,44.5kg,600*400,
KQ85QNA90-W2,44.5kg,600*400,
KQ85QNC90AFXKR,43.5kg,600*400,M8 11~13
KQ85QNC90-W2,43.5kg,600*400,M8 11~13
KQ85QNC83-FF,42.7kg,600*400,M8 11~13
KQ85QNC83-FFW,42.7kg,600*400,M8 11~13
KQ85QNC85-F,42.7kg,600*400,M8 11~13
KQ85QNC85-FW,42.7kg,600*400,M8 11~13
KQ85QNB83AFXKR,42.7kg,600*400,M8 11~13
KQ85QNB83-W2,42.7kg,600*400,M8 11~13
KQ85QNB85-5,42.7kg,600*400,M8 11~13
KQ85QNB85-W25,42.7kg,600*400,M8 11~13
KQ85QNB85AFXKR,42.7kg,600*400,M8 11~13
KQ85QNB90AFXKR,44.5kg,600*400,M8 11~13
KQ85QNB90-W2,44.5kg,600*400,M8 11~13
KQ85QNB95AFXKR,44.5kg,600*400,M8 11~13
KQ85QNB95-W2,44.5kg,600*400,M8 11~13
KQ85QNC83-5,42.7kg,600*400,M8 11~13
KQ85QNC83-W25,42.7kg,600*400,M8 11~13
KQ85QNC85-F7,42.7kg,600*400,M8 11~13
KQ85QNC85-FW7,42.7kg,600*400,M8 11~13
KQ85QB83AFXKR,43.3kg,600*400,M8 25~27
KQ85QB83-W2,43.3kg,600*400,M8 25~27
KQ85QA70-6,43.8kg,600*400,
KQ85QA70-W26,43.8kg,600*400,
KQ85QA70AFXKR,43.8kg,600*400,
KQ85QA70-W2,43.8kg,600*400,
KQ85QA80-6,43.3kg,600*400,
KQ85QA80-W26,43.3kg,600*400,
KQ85QB60AFXKR,41.5kg,600*400,M8 11~13
KQ85QB60-W2,41.5kg,600*400,M8 11~13
KQ82QT800A-W1,41.5kg,novesa,
KQ82QT800A-W2,41.5kg,novesa,
KQ82QT800AFXKR,41.5kg,novesa,
KQ85QT950S-W1,51.8kg,novesa,
KQ85QT950S-W2,51.8kg,novesa,
KQ85QT950SFXKR,51.8kg,novesa,
KQ85QA67AFXKR,41.5kg,600*400,M8 11~13
KQ85QA60-W2,41.5kg,600*400,M8 11~13
KQ85QT80A-S,43.3kg,novesa,
KQ85QT80A-W2,43.3kg,novesa,
KQ85QT65A-S,47.5kg,novesa,
KQ85QT65A-W2,47.5kg,novesa,
KQ85QB70-B5,43.8kg,600*400,M8 11~13
KQ85QB70-W2B5,43.8kg,600*400,M8 11~13
KQ85QT65AFXKR,47.5kg,novesa,
KQ85QT65A-W1,47.5kg,novesa,
KQ85QT67AFXKR,48.7kg,novesa,
KQ85QB65-B5,41.5kg,600*400,M8 11~13
KQ85QB65-W2B5,41.5kg,600*400,M8 11~13
KQ85QB65-SP,41.5kg,600*400,M8 11~13
KQ85QB65-W2SP,41.5kg,600*400,M8 11~13
